"year","city","temp"
1982,"Baghdad","33.29266666666667"
1982,"Calcutta","29.629666666666665"
1982,"Delhi","32.207"
1982,"Mashhad","23.225666666666665"
1982,"Moscow","15.819333333333338"
1983,"Baghdad","33.845666666666666"
1983,"Calcutta","29.987333333333336"
1983,"Delhi","31.50266666666667"
1983,"Mashhad","25.401"
1983,"Moscow","15.864666666666665"
1984,"Baghdad","33.526"
1984,"Calcutta","28.877666666666666"
1984,"Delhi","31.757666666666665"
1984,"Mashhad","25.045333333333332"
1984,"Moscow","15.495333333333335"
1985,"Baghdad","34.13233333333334"
1985,"Calcutta","29.354"
1985,"Delhi","31.749333333333336"
1985,"Mashhad","24.372666666666664"
1985,"Moscow","16.491333333333333"
1986,"Baghdad","34.26333333333334"
1986,"Calcutta","29.65433333333333"
1986,"Delhi","31.661666666666665"
1986,"Mashhad","23.384666666666664"
1986,"Moscow","17.12566666666667"
1987,"Baghdad","34.62533333333334"
1987,"Calcutta","29.842333333333332"
1987,"Delhi","33.942"
1987,"Mashhad","24.160666666666668"
1987,"Moscow","15.998666666666667"
1988,"Baghdad","34.08866666666666"
1988,"Calcutta","29.388"
1988,"Delhi","31.397333333333336"
1988,"Mashhad","24.450333333333333"
1988,"Moscow","18.596333333333337"
1989,"Baghdad","34.943666666666665"
1989,"Calcutta","29.391666666666666"
1989,"Delhi","31.799666666666667"
1989,"Mashhad","24.953333333333333"
1989,"Moscow","18.060000000000002"
1990,"Baghdad","34.877"
1990,"Calcutta","29.511666666666667"
1990,"Delhi","31.712999999999997"
1990,"Mashhad","25.008666666666667"
1990,"Moscow","15.516"
1991,"Baghdad","34.208666666666666"
1991,"Calcutta","29.548999999999996"
1991,"Delhi","32.657000000000004"
1991,"Mashhad","23.817666666666668"
1991,"Moscow","17.393333333333334"
1992,"Baghdad","33.236333333333334"
1992,"Calcutta","29.511"
1992,"Delhi","32.062333333333335"
1992,"Mashhad","23.201666666666668"
1992,"Moscow","17.395666666666667"
1993,"Baghdad","34.135"
1993,"Calcutta","29.38233333333333"
1993,"Delhi","32.35566666666667"
1993,"Mashhad","23.642666666666667"
1993,"Moscow","15.254666666666667"
1994,"Baghdad","33.78266666666667"
1994,"Calcutta","29.397666666666666"
1994,"Delhi","31.807000000000002"
1994,"Mashhad","24.717333333333332"
1994,"Moscow","15.766666666666667"
1995,"Baghdad","34.221000000000004"
1995,"Calcutta","29.619"
1995,"Delhi","32.535"
1995,"Mashhad","25.338666666666665"
1995,"Moscow","17.433000000000003"
1996,"Baghdad","35.172333333333334"
1996,"Calcutta","29.194333333333333"
1996,"Delhi","31.415333333333333"
1996,"Mashhad","24.504666666666665"
1996,"Moscow","16.960666666666665"
1997,"Baghdad","34.092000000000006"
1997,"Calcutta","29.616"
1997,"Delhi","31.554333333333336"
1997,"Mashhad","25.273"
1997,"Moscow","17.646"
1998,"Baghdad","36.344"
1998,"Calcutta","30.25"
1998,"Delhi","32.093333333333334"
1998,"Mashhad","24.790000000000003"
1998,"Moscow","17.46666666666667"
1999,"Baghdad","35.83266666666666"
1999,"Calcutta","29.281333333333333"
1999,"Delhi","32.46366666666667"
1999,"Mashhad","24.854666666666663"
1999,"Moscow","19.114333333333335"
2000,"Baghdad","36.388"
2000,"Calcutta","29.625"
2000,"Delhi","31.562"
2000,"Mashhad","24.351333333333333"
2000,"Moscow","16.779666666666667"
2001,"Baghdad","36.098333333333336"
2001,"Calcutta","29.220333333333333"
2001,"Delhi","31.19666666666667"
2001,"Mashhad","25.026"
2001,"Moscow","18.205000000000002"
2002,"Baghdad","35.205666666666666"
2002,"Calcutta","29.685333333333332"
2002,"Delhi","33.49166666666667"
2002,"Mashhad","25.11766666666667"
2002,"Moscow","18.415000000000003"
2003,"Baghdad","35.422000000000004"
2003,"Calcutta","29.713333333333335"
2003,"Delhi","32.07666666666667"
2003,"Mashhad","24.394333333333332"
2003,"Moscow","16.34166666666667"
2004,"Baghdad","34.927"
2004,"Calcutta","29.558333333333334"
2004,"Delhi","31.942000000000004"
2004,"Mashhad","24.667666666666666"
2004,"Moscow","17.042333333333332"
2005,"Baghdad","35.168"
2005,"Calcutta","29.971"
2005,"Delhi","32.36933333333334"
2005,"Mashhad","24.97866666666667"
2005,"Moscow","17.163"
2006,"Baghdad","36.21033333333333"
2006,"Calcutta","29.59566666666667"
2006,"Delhi","31.62066666666667"
2006,"Mashhad","25.62966666666667"
2006,"Moscow","17.42233333333333"
2007,"Baghdad","35.76333333333333"
2007,"Calcutta","29.73866666666667"
2007,"Delhi","32.38033333333333"
2007,"Mashhad","24.725000000000005"
